chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\labels\XYZToolTipGenerator.java, XYZToolTipGenerator.java, 53, 48, 0.9056604, 3, 0.30188679695129395
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\legend\LegendGraphic.java, LegendGraphic.java, 683, 349, 0.51098096, 86, 0.0059416391886770725
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\legend\LegendItem.java, LegendItem.java, 983, 539, 0.5483215, 186, 0.0029479649383574724
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\legend\LegendItemBlockContainer.java, LegendItemBlockContainer.java, 170, 101, 0.59411764, 19, 0.03126934915781021
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\legend\LegendItemCollection.java, LegendItemCollection.java, 142, 86, 0.6056338, 14, 0.04325955733656883
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\legend\LegendItemSource.java, LegendItemSource.java, 50, 45, 0.9, 2, 0.44999998807907104
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\legend\LegendRenderingOrder.java, LegendRenderingOrder.java, 45, 40, 0.8888889, 0, -1.0
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\legend\LegendTitle.java, LegendTitle.java, 617, 270, 0.4376013, 101, 0.004332686308771372
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\legend\package-info.java, package-info.java, 4, 3, 0.75, -1, -0.75
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\legend\PaintScaleLegend.java, PaintScaleLegend.java, 662, 271, 0.40936556, 108, 0.0037904218770563602
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\package-info.java, package-info.java, 4, 3, 0.75, 0, -1.0
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\plot\CategoryCrosshairState.java, CategoryCrosshairState.java, 157, 93, 0.5923567, 15, 0.03949044644832611
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\plot\CategoryMarker.java, CategoryMarker.java, 174, 105, 0.6034483, 24, 0.02514367736876011
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\plot\CategoryPlot.java, CategoryPlot.java, 4523, 2110, 0.46650454, 820, 5.689079989679158E-4
C:\Users\Pierre-Paul Hamon\Documents\GitHub\jfreechart\src\main\java\org\jfree\chart\plot\CenterTextMode.java, CenterTextMode.java, 47, 41, 0.87234044, 1, 0.8723404407501221
